word,word_type,index,example_1,example_2,semantic_consistency
board,N,2-2,Room and board .,He nailed boards across the windows .,F
circulate,V,0-4,Circulate a rumor .,This letter is being circulated among the faculty .,F
hook,V,0-1,Hook a fish .,"He hooked a snake accidentally , and was so scared he dropped his rod into the water .",T
recreation,N,1-9,For recreation he wrote poetry and solved crossword puzzles .,Drug abuse is often regarded as a form of recreation .,T
domesticity,N,4-6,Making a hobby of domesticity .,A royal family living in unpretentious domesticity .,F
acquisition,N,3-7,The child 's acquisition of language .,That graphite tennis racquet is quite an acquisition .,F
meeting,N,3-1,There was no meeting of minds .,The meeting elected a chairperson .,F
nude,N,4-4,They swam in the nude .,The marketing rule ' nude sells ' spread from verbal to visual mainstream media in the 20th century .,F
mark,N,4-8,He left an indelible mark on the American theater .,It was in London that he made his mark .,T
association,N,7-2,Conditioning is a form of learning by association .,Many close associations with England .,F
inclination,N,2-1,The alkaline inclination of the local waters .,An inclination of his head indicated his agreement .,F
glaze,V,0-2,Glaze the bread with eggwhite .,The potter glazed the dishes .,T
piggyback,V,3-1,An amendment to piggyback the current law .,He piggybacked her child so she could see the show .,F
pick,V,1-3,To pick rags .,Do n't always pick on your little brother .,F
belabor,V,0-2,Belabor the obvious .,She was belabored by her fellow students .,F
bell,V,0-2,Bell cows .,Who will bell the cat ?,T
tear,N,12-3,He took the manuscript in both hands and gave it a mighty tear .,There were big tears rolling down Lisa 's cheeks .,F
kill,V,0-1,Kill the engine .,He killed the ball .,F
analyze,V,0-2,Analyze your real motives .,The inspector analyzed the building 's soundness .,T
lecture,V,3-1,Did you ever lecture at Harvard ?,She lectured to the class about her travels .,T
rehearsal,N,1-4,A rehearsal will be held the day before the wedding .,He missed too many rehearsals .,T
forge,V,3-1,We decided to forge ahead with our plans even though our biggest underwriter backed out .,He forged ahead .,T
falsity,N,9-7,The belief that the world is flat is a falsity .,Argument could not determine its truth or falsity .,T
assurance,N,1-1,An assurance of help when needed .,His assurance in his superiority did not make him popular .,F
branch,N,1-2,A branch of Congress .,We have branches in all major suburbs .,T
fuzz,N,9-1,He tried to clear his head of the whisky fuzz .,Peach fuzz .,F
risk,V,3-1,I can not risk smoking .,Why risk your life ?,T
chemistry,N,1-1,The chemistry of indigo .,The chemistry of iron .,T
char,N,10-11,"“ Among other native delicacies , they give you fresh char . ” .","“ I had to scrub the kitchen today , because the char could n't come ” .",F
response,N,4-1,This situation developed in response to events in Africa .,His responses have slowed with age .,F
excuse,N,5-4,That thing is a poor excuse for a gingerbread man . Has n't anyone taught you how to bake ?,He 's a sorry excuse of a doctor .,T
bondage,N,5-5,He sought release from his bondage to Satan .,A self freed from the bondage of time .,T
catch,N,1-3,The catch was only 10 fish .,He shared his catch with the others .,F
shadiness,N,4-1,There 's too much shadiness to take good photographs .,The shadiness of their transactions .,F
passage,N,2-6,The outward passage took 10 days .,She struggled to play the difficult passages .,F
daughter,N,13-1,"I already have a son , so I would like to have a daughter .",Her daughter cared for her in her old age .,T
hold,V,1-0,Please hold a table at Maxim 's .,Hold a table for us at 7:00 .,T
banish,V,0-0,Banish bad thoughts .,Banish gloom .,T
sense,N,3-2,A keen musical sense .,A good sense of timing .,T
opinion,N,2-6,"In my opinion , white chocolate is better than milk chocolate .",I would like to know your opinions on the new systems .,T
deed,N,3-3,He signed the deed .,I inherited the deed to the house .,T
question,N,8-3,His claim to the property has come under question .,He obeyed without question .,T
distribute,V,4-2,The publisher wants to distribute the book in Asia .,The function distributes the values evenly .,F
return,V,0-0,Return her love .,Return a compliment .,T
officer,N,3-4,He is an officer of the court .,The club elected its officers for the coming year .,T
clutch,V,1-1,To clutch power .,She clutched her purse .,T
dissipation,N,1-1,The dissipation of the mist .,Mindless dissipation of natural resources .,F
portfolio,N,9-3,He remembered her because she was carrying a large portfolio .,He holds the portfolio for foreign affairs .,F
play,N,3-5,They gave full play to the artist 's talent .,It was all done in play .,F
brush,N,6-4,She gave her hair a quick brush .,The dentist recommended two brushes a day .,T
rise,N,6-1,They asked for a 10 % rise in rates .,The rising of the Holy Ghost .,F
studio,N,1-5,His studio was cramped when he began as an artist .,You do n't need a studio to make a passport photograph .,T
cushion,V,1-0,To cushion a blow .,Cushion the blow .,T
plenty,N,2-4,There was plenty of food for everyone .,It must have cost plenty .,F
look,N,1-1,A look of triumph .,His look was fixed on her eyes .,F
recrudescence,N,1-1,A recrudescence of racism .,A recrudescence of the symptoms .,T
metadata,N,3-4,Most websites contain metadata to tell the computer how to lay the words out on the screen .,A library catalog is metadata because it describes publications .,T
streak,N,1-4,A streak of wildness .,He has a stubborn streak .,T
elapse,V,5-2,He allowed a month to elapse before beginning the work .,Several days elapsed before they met again .,T
corner,N,5-2,He tripled to the rightfield corner .,The southeastern corner of the Mediterranean .,T
average,N,3-6,He is about average in height .,The snowfall this month is below average .,T
replicate,V,11-0,"On entering a host cell , a virus will start to replicate .",Replicate the cell .,T
wait,V,3-0,She used to wait down at the Dew Drop Inn .,Wait here until your car arrives .,F
bottom,N,4-9,They started at the bottom of the hill .,They did much of their overseas trade in foreign bottoms .,F
straggle,N,1-1,A straggle of followers .,A straggle of outbuildings .,T
torture,N,7-13,In every war there are acts of torture that cause the world to shudder .,"Using large dogs to attack bound , hand - cuffed prisoners is clearly torture .",T
wash,V,5-2,This silly excuse wo n't wash in traffic court .,The cat washes several times a day .,F
seem,V,1-1,I seem to be misunderstood by everyone .,There seems no reason to go ahead with the project now .,F
jockey,N,4-2,He 's a truck jockey .,A disc jockey .,T
sugar,V,0-2,Sugar your tea .,John heavily sugars his coffee .,T
load,V,0-0,Load a car .,Load the truck with hay .,T
canon,N,2-0,The neoclassical canon .,Canons of polite society .,T
upstage,V,6-8,She only wore that dress to upstage everyone .,"When the dog entered the stage , he upstaged the actress .",T
ruin,V,3-3,This behavior will ruin your chances of winning the election .,The country lay ruined after the war .,F
modify,V,1-1,Please modify this letter to make it more polite .,He modified his views on same - gender marriage .,T
loose,V,1-0,Let loose mines .,Loose terrible plagues upon humanity .,T
breast,N,3-5,He beat his breast in anger .,The robin has a red breast .,T
invasion,N,1-1,An invasion of locusts .,An invasion of tourists .,T
stay,V,5-0,Wear gloves so your hands stay warm .,"Stay with me , please .",T
